time,open_N,open_N-1,close_N,close_N-1,low_N,low_N-1,high_N,high_N-1,volume_N,volume_N-1,pattern_N,pattern_N-1,body_N,body_N-1,candle_height_N,candle_height_N-1,shadow_up_N,shadow_up_N-1,shadow_down_N,shadow_down_N-1,body_diff,shadow_sum_N,shadow_sum_N-1,ratio_up_shadow_to_body_N,ratio_up_shadow_to_body_N_abs,ratio_up_shadow_to_body_N-1,ratio_up_shadow_to_body_N-1_abs,ratio_down_shadow_to_body_N,ratio_down_shadow_to_body_N_abs,ratio_down_shadow_to_body_N-1,ratio_down_shadow_to_body_N-1_abs,ratio_sum_shadow_to_body_N,ratio_sum_shadow_to_body_N_abs,ratio_sum_shadow_to_body_N-1,ratio_sum_shadow_to_body_N-1_abs,ratio_of_body,ratio_of_body_abs,is_zero_body_N,is_zero_body_N-1,pattern,cluster,pca_1,pca_2
2009-05-18 13:00:00,3191,3200,3198,3189,3182,3163,3213,3210,34712,47740,1,1,7,-2,31,47,15,10,9,26,9,24,36,2.142857142857143,2.142857142857143,-5.0,5.0,1.2857142857142858,1.2857142857142858,-13.0,13.0,3.4285714285714284,3.4285714285714284,-18.0,18.0,-3.5,3.5,0,0,1,2,-4.625155922809361,1.3870752925771133
2009-05-18 22:00:00,3468,3480,3474,3466,3459,3457,3480,3482,6590,16002,1,1,6,-2,21,25,6,2,9,9,8,15,11,1.0,1.0,-1.0,1.0,1.5,1.5,-4.5,4.5,2.5,2.5,-5.5,5.5,-3.0,3.0,0,0,1,2,-5.008387194787405,0.29989146785158194
2009-05-19 13:00:00,3591,3614,3601,3590,3559,3588,3608,3636,67860,75305,1,1,10,-1,49,48,7,22,32,2,11,39,24,0.7,0.7,-22.0,22.0,3.2,3.2,-2.0,2.0,3.9,3.9,-24.0,24.0,-10.0,10.0,0,0,1,2,-4.374857985278246,2.002613464165368
2009-05-22 18:00:00,3870,3938,3910,3866,3870,3851,3932,3960,63928,73007,1,1,40,-4,62,109,22,22,0,15,44,22,37,0.55,0.55,-5.5,5.5,0.0,0.0,-3.75,3.75,0.55,0.55,-9.25,9.25,-10.0,10.0,0,0,1,2,-4.311006566279475,1.6028334325944227
2009-05-22 19:00:00,3910,3870,3885,3910,3880,3870,3922,3932,5325,63928,1,1,-25,0,42,62,12,22,5,0,-25,17,22,-0.48,0.48,100.0,100.0,-0.2,0.2,0.0,0.0,-0.68,0.68,100.0,100.0,0.0,0.0,0,1,1,3,-5.183766336393118,-0.09240327900120777
2009-05-22 20:00:00,3890,3910,3902,3885,3875,3880,3905,3922,3424,5325,1,1,12,-5,30,42,3,12,15,5,17,18,17,0.25,0.25,-2.4,2.4,1.25,1.25,-1.0,1.0,1.5,1.5,-3.4,3.4,-2.4,2.4,0,0,1,2,-4.778277645966543,0.14507854926481367
2009-05-28 10:00:00,3967,4030,4017,3960,3967,3946,4039,4045,72069,31252,1,1,50,-7,72,99,22,15,0,14,57,22,29,0.44,0.44,-2.142857142857143,2.142857142857143,0.0,0.0,-2.0,2.0,0.44,0.44,-4.142857142857143,4.142857142857143,-7.142857142857143,7.142857142857143,0,0,1,2,-4.351022313747332,1.2123124360621234
2009-05-28 15:00:00,4086,4113,4096,4085,4078,4071,4133,4119,52381,49256,1,1,10,-1,55,48,37,6,8,14,11,45,20,3.7,3.7,-6.0,6.0,0.8,0.8,-14.0,14.0,4.5,4.5,-20.0,20.0,-10.0,10.0,0,0,1,2,-4.231733414598908,1.6191393982906228
2009-05-28 21:00:00,4193,4235,4230,4188,4192,4181,4249,4244,10567,18300,1,1,37,-5,57,63,19,9,1,7,42,20,16,0.5135135135135135,0.5135135135135135,-1.8,1.8,0.02702702702702703,0.02702702702702703,-1.4,1.4,0.5405405405405406,0.5405405405405406,-3.2,3.2,-7.4,7.4,0,0,1,2,-4.490879274261707,0.3992619393927467
2009-06-01 16:00:00,4897,4982,4938,4894,4890,4826,4969,5002,72061,139317,1,1,41,-3,79,176,31,20,7,68,44,38,88,0.7560975609756098,0.7560975609756098,-6.666666666666667,6.666666666666667,0.17073170731707318,0.17073170731707318,-22.666666666666668,22.666666666666668,0.926829268292683,0.926829268292683,-29.333333333333332,29.333333333333332,-13.666666666666666,13.666666666666666,0,0,1,2,-3.181092644607833,3.0223887945519645
2009-06-02 18:00:00,5289,5298,5290,5270,5256,5156,5450,5328,97089,121036,1,1,1,-19,194,172,160,30,33,114,20,193,144,160.0,160.0,-1.5789473684210527,1.5789473684210527,33.0,33.0,-6.0,6.0,193.0,193.0,-7.578947368421052,7.578947368421052,-0.05263157894736842,0.05263157894736842,0,0,1,1,0.3103162948088728,12.239421851017514
2009-06-03 13:00:00,5061,5106,5070,5059,5020,5059,5132,5199,126661,179829,1,1,9,-2,112,140,62,93,41,0,11,103,93,6.888888888888889,6.888888888888889,-46.5,46.5,4.555555555555555,4.555555555555555,-0.0,0.0,11.444444444444445,11.444444444444445,-46.5,46.5,-4.5,4.5,0,0,1,2,-2.4994921466697004,4.798593666180871
2009-06-05 12:00:00,5020,5145,5060,5019,5020,5002,5120,5189,86903,150767,1,1,40,-1,100,187,60,44,0,17,41,60,61,1.5,1.5,-44.0,44.0,0.0,0.0,-17.0,17.0,1.5,1.5,-61.0,61.0,-40.0,40.0,0,0,1,2,-2.432032804669257,4.223612637988182
2009-06-05 23:00:00,5050,5095,5061,5046,4980,4982,5100,5100,13855,11789,1,1,11,-4,120,118,39,5,70,64,15,109,69,3.5454545454545454,3.5454545454545454,-1.25,1.25,6.363636363636363,6.363636363636363,-16.0,16.0,9.909090909090908,9.909090909090908,-17.25,17.25,-2.75,2.75,0,0,1,2,-2.9355547222830367,2.031875116416213
2009-06-08 17:00:00,4806,4848,4810,4805,4784,4791,4890,4857,68821,32131,1,1,4,-1,106,66,80,9,22,14,5,102,23,20.0,20.0,-9.0,9.0,5.5,5.5,-14.0,14.0,25.5,25.5,-23.0,23.0,-4.0,4.0,0,0,1,2,-3.2751828294152654,2.9679001515528847
2009-06-15 20:00:00,4403,4431,4419,4402,4400,4388,4427,4436,2270,9366,1,1,16,-1,27,48,8,5,3,14,17,11,19,0.5,0.5,-5.0,5.0,0.1875,0.1875,-14.0,14.0,0.6875,0.6875,-19.0,19.0,-16.0,16.0,0,0,1,2,-4.37047810950864,0.5476876797592614
2009-06-15 21:00:00,4415,4403,4403,4419,4392,4400,4420,4427,2374,2270,1,1,-12,4,28,27,5,8,11,3,-16,16,11,-0.4166666666666667,0.4166666666666667,2.0,2.0,-0.9166666666666666,0.9166666666666666,0.75,0.75,-1.3333333333333333,1.3333333333333333,2.75,2.75,-3.0,3.0,0,0,1,2,-4.9866847113431065,-0.22555620086006484
2009-06-15 22:00:00,4404,4415,4411,4403,4404,4392,4428,4420,2969,2374,1,1,7,-1,24,28,17,5,0,11,8,17,16,2.4285714285714284,2.4285714285714284,-5.0,5.0,0.0,0.0,-11.0,11.0,2.4285714285714284,2.4285714285714284,-16.0,16.0,-7.0,7.0,0,0,1,2,-4.504792812567241,0.3886490299711681
2009-06-26 22:00:00,3987,3999,3997,3986,3976,3980,3997,4009,3161,5520,1,1,10,-1,21,29,0,10,11,6,11,11,16,0.0,0.0,-10.0,10.0,1.1,1.1,-6.0,6.0,1.1,1.1,-16.0,16.0,-10.0,10.0,0,0,1,2,-4.64832492963906,0.4081726015402246
2009-06-30 20:00:00,3820,3835,3832,3815,3814,3810,3848,3844,3396,6155,1,1,12,-5,34,34,16,9,6,5,17,22,14,1.3333333333333333,1.3333333333333333,-1.8,1.8,0.5,0.5,-1.0,1.0,1.8333333333333333,1.8333333333333333,-2.8,2.8,-2.4,2.4,0,0,1,2,-4.792103679946133,0.16788460150560147
2009-06-30 21:00:00,3832,3820,3811,3832,3810,3814,3832,3848,3569,3396,1,1,-21,0,22,34,0,16,1,6,-21,1,22,-0.0,0.0,100.0,100.0,-0.047619047619047616,0.047619047619047616,100.0,100.0,-0.047619047619047616,0.047619047619047616,100.0,100.0,0.0,0.0,0,1,1,3,-5.335110386152022,-0.6596970478728997
2009-06-30 22:00:00,3814,3832,3820,3811,3808,3810,3830,3832,2366,3569,1,1,6,-3,22,22,10,0,6,1,9,16,1,1.6666666666666667,1.6666666666666667,-0.0,0.0,1.0,1.0,-0.3333333333333333,0.3333333333333333,2.6666666666666665,2.6666666666666665,-0.3333333333333333,0.3333333333333333,-2.0,2.0,0,0,1,2,-5.045590200161486,-0.06405413391439059
2009-07-01 13:00:00,3822,3886,3835,3821,3822,3808,3873,3887,48757,101962,1,1,13,-1,51,79,38,1,0,13,14,38,14,2.923076923076923,2.923076923076923,-1.0,1.0,0.0,0.0,-13.0,13.0,2.923076923076923,2.923076923076923,-14.0,14.0,-13.0,13.0,0,0,1,2,-4.455428066143241,1.7199897666507298
